[2024-07-23 21:32:56.802]	 Updating all plugins!
[2024-07-23 21:32:56.802]	 
[2024-07-23 21:32:57.223]	   "tmux-menus" update success
[2024-07-23 21:32:57.225]	     | Already up to date.
[2024-07-23 21:32:57.244]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:32:57.301]	 Done.

[2024-07-23 21:33:02.755]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:33:02.767]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:33:02.793]	 Already installed "tmux-menus"
[2024-07-23 21:33:02.806]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:33:03.088]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:33:03.100]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:33:03.129]	 Already installed "tmux-menus"
[2024-07-23 21:33:03.144]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:33:02.818]	 Updating all plugins!
[2024-07-23 21:33:02.818]	 
[2024-07-23 21:33:03.315]	   "tmux-menus" update success
[2024-07-23 21:33:03.316]	     | Already up to date.
[2024-07-23 21:33:03.328]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:33:03.372]	 Done.

[2024-07-23 21:33:03.160]	 Updating all plugins!
[2024-07-23 21:33:03.160]	 
[2024-07-23 21:33:03.615]	   "tmux-menus" update success
[2024-07-23 21:33:03.618]	     | Already up to date.
[2024-07-23 21:33:03.644]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:33:03.669]	 Removing "tmux-menus"
[2024-07-23 21:33:03.695]	   "tmux-menus" clean success
[2024-07-23 21:33:03.744]	 Done.

[2024-07-23 21:33:08.906]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:33:08.917]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:33:08.945]	 Installing "tmux-menus"
[2024-07-23 21:33:09.658]	   "tmux-menus" download success
[2024-07-23 21:33:09.673]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:33:09.685]	 Updating all plugins!
[2024-07-23 21:33:09.685]	 
[2024-07-23 21:33:10.129]	   "tmux-menus" update success
[2024-07-23 21:33:10.131]	     | Already up to date.
[2024-07-23 21:33:10.146]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:33:10.183]	 Done.

[2024-07-23 21:33:12.771]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:33:12.782]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:33:12.809]	 Already installed "tmux-menus"
[2024-07-23 21:33:12.822]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:33:12.834]	 Updating all plugins!
[2024-07-23 21:33:12.834]	 
[2024-07-23 21:33:13.239]	   "tmux-menus" update success
[2024-07-23 21:33:13.241]	     | Already up to date.
[2024-07-23 21:33:13.257]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:33:13.293]	 Done.

[2024-07-23 21:36:09.217]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:36:09.229]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
